# Paranal Airglow Line And Continuum Emission (PALACE) model: data and code of
# v1.0 (Noll et al. 2024)
# 
# Reference populations and intensities from the OH population model for lines
# with HITRAN2020 data (intensities consistent with pmd_reflineint_mol.dat)
# 
# Column names:
# lam: vacuum wavelength in µm (HITRAN2020)
# ID: 13 characters describing upper and lower states (HITRAN2020)
# (see pmd_reflineint_mol.dat for details)
# vi: vibrational level of upper state
# Fi: electronic substate of upper state (1 or 2)
# Ni: rotational level of upper state
# pi: parity of upper state (e or f)
# Ei: energy of upper state in 1/cm (HITRAN2020)
# Aij: Einstein-A coefficient in 1/s (HITRAN2020)
# Aijc: corrected Einstein-A coefficient in 1/s (see pmd_corrA_Ohbands.dat
# for branch and band corrections and noll+20 for Lambda doublets)
# gi: statistical weight (HITRAN2020)
# y: natural logarithm of population (exp(y) in Rs)
# I: reference intensity in R (based on product of exp(y), Aijc, and gi)
# 
# References:
# HITRAN2020: https://doi.org/10.1016/j.jqsrt.2021.107949
# noll+20: https://doi.org/10.5194/acp-20-5269-2020
# 
lam ID vi Fi Ni pi Ei Aij Aijc gi y I
0.352391 OHXXX0RQ2103f 10 2 3 f 28461.253 1.019e-07 5.617e-08 12 -5.218 3.653e-09
0.352395 OHXXX0RQ2103e 10 2 3 e 28461.148 1.042e-07 5.617e-08 12 -5.217 3.656e-09
0.352552 OHXXX0QP2101f 10 2 1 f 28364.682 4.447e-07 4.688e-07 4 -4.739 1.641e-08
0.352552 OHXXX0QP2101e 10 2 1 e 28364.626 4.485e-07 4.688e-07 4 -4.738 1.642e-08
0.352818 OHXXX0RQ2104f 10 2 4 f 28545.133 1.037e-07 4.308e-08 16 -5.634 2.464e-09
0.352825 OHXXX0RQ2104e 10 2 4 e 28545.059 1.066e-07 4.308e-08 16 -5.633 2.465e-09
0.352837 OHXXX0SR2108e 10 2 8 e 29109.153 7.961e-08 5.715e-08 32 -8.433 3.98e-10
0.352865 OHXXX0SR2108f 10 2 8 f 29108.684 7.627e-08 5.715e-08 32 -8.429 3.994e-10
0.353143 OHXXX0QP2102e 10 2 2 e 28400.9 3.137e-07 3.392e-07 8 -4.918 1.985e-08
0.353144 OHXXX0QP2102f 10 2 2 f 28400.996 3.088e-07 3.392e-07 8 -4.919 1.983e-08
0.353393 OHXXX0RQ2105f 10 2 5 f 28652.251 1.028e-07 3.215e-08 20 -6.165 1.351e-09
0.353403 OHXXX0RQ2105e 10 2 5 e 28652.251 1.06e-07 3.215e-08 20 -6.165 1.351e-09
0.353521 OHXXX0RR1102f 10 1 2 f 28286.911 5.799e-06 5.321e-06 12 -4.353 8.22e-07
0.353521 OHXXX0RR1102e 10 1 2 e 28286.848 5.799e-06 5.321e-06 12 -4.352 8.224e-07
0.353629 OHXXX0SR2109e 10 2 9 e 29304.989 1.02e-07 7.064e-08 36 -9.405 2.094e-10
0.353643 OHXXX0RR1103e 10 1 3 e 28360.851 8.878e-06 7.848e-06 16 -4.719 1.12e-06
0.353643 OHXXX0RR1103f 10 1 3 f 28361.001 8.878e-06 7.848e-06 16 -4.72 1.119e-06
0.353667 OHXXX0SR2109f 10 2 9 f 29304.29 9.801e-08 7.064e-08 36 -9.399 2.105e-10
0.353674 OHXXX0RR2202e 10 2 2 e 28400.9 6.508e-06 5.972e-06 8 -4.918 3.494e-07
0.353675 OHXXX0RR2202f 10 2 2 f 28400.996 6.508e-06 5.972e-06 8 -4.919 3.492e-07
0.353686 OHXXX0RR2203e 10 2 3 e 28461.148 9.079e-06 8.025e-06 12 -5.217 5.223e-07
0.353688 OHXXX0RR2203f 10 2 3 f 28461.253 9.079e-06 8.025e-06 12 -5.218 5.219e-07
0.353867 OHXXX0QP2103e 10 2 3 e 28461.148 2.561e-07 2.867e-07 12 -5.217 1.866e-08
0.353871 OHXXX0QP2103f 10 2 3 f 28461.253 2.508e-07 2.867e-07 12 -5.218 1.865e-08
0.353904 OHXXX0RR2204e 10 2 4 e 28545.059 1.135e-05 9.665e-06 16 -5.633 5.531e-07
0.353906 OHXXX0RR2204f 10 2 4 f 28545.133 1.135e-05 9.665e-06 16 -5.634 5.528e-07
0.35393 OHXXX0RR1104e 10 1 4 e 28456.136 1.141e-05 9.72e-06 20 -5.192 1.081e-06
0.353932 OHXXX0RR1104f 10 1 4 f 28456.413 1.142e-05 9.72e-06 20 -5.194 1.079e-06
0.354125 OHXXX0RQ2106f 10 2 6 f 28782.185 1.006e-07 2.368e-08 24 -6.81 6.268e-10
0.354128 OHXXX0QQ2201f 10 2 1 f 28364.682 5.472e-06 5.279e-06 4 -4.739 1.848e-07
0.354131 OHXXX0QQ2201e 10 2 1 e 28364.626 5.472e-06 5.279e-06 4 -4.738 1.849e-07
0.354139 OHXXX0RQ2106e 10 2 6 e 28782.301 1.04e-07 2.368e-08 24 -6.811 6.262e-10
0.354182 OHXXX0QQ1101f 10 1 1 f 28234.09 9.663e-06 9.323e-06 8 -4.091 1.248e-06
0.354183 OHXXX0QQ1101e 10 1 1 e 28234.073 9.664e-06 9.323e-06 8 -4.09 1.248e-06
0.354321 OHXXX0RR2205e 10 2 5 e 28652.251 1.371e-05 1.125e-05 20 -6.165 4.726e-07
0.354324 OHXXX0RR2205f 10 2 5 f 28652.251 1.371e-05 1.125e-05 20 -6.165 4.726e-07
0.354389 OHXXX0RR1105e 10 1 5 e 28572.701 1.39e-05 1.141e-05 24 -5.77 8.54e-07
0.354393 OHXXX0RR1105f 10 1 5 f 28573.147 1.391e-05 1.141e-05 24 -5.773 8.512e-07
0.35444 OHXXX0QQ2202f 10 2 2 f 28400.996 1.231e-06 8.926e-07 8 -4.919 5.219e-08
0.354445 OHXXX0QQ2202e 10 2 2 e 28400.9 1.231e-06 8.926e-07 8 -4.918 5.223e-08
0.35457 OHXXX0QQ1102f 10 1 2 f 28286.911 4.165e-06 3.021e-06 12 -4.353 4.666e-07
0.354573 OHXXX0QQ1102e 10 1 2 e 28286.848 4.166e-06 3.021e-06 12 -4.352 4.668e-07
0.354604 OHXXX0SR2110e 10 2 10 e 29521.743 1.232e-07 8.23e-08 40 -10.481 9.243e-11
0.354654 OHXXX0SR2110f 10 2 10 f 29520.784 1.187e-07 8.23e-08 40 -10.473 9.31e-11
0.354736 OHXXX0QP2104e 10 2 4 e 28545.059 2.151e-07 2.496e-07 16 -5.633 1.428e-08
0.354746 OHXXX0QP2104f 10 2 4 f 28545.133 2.099e-07 2.496e-07 16 -5.634 1.427e-08
0.354898 OHXXX0PP2201e 10 2 1 e 28364.626 9.04e-06 9.492e-06 4 -4.738 3.324e-07
0.3549 OHXXX0PP2201f 10 2 1 f 28364.682 9.043e-06 9.492e-06 4 -4.739 3.323e-07
0.354936 OHXXX0RR2206e 10 2 6 e 28782.301 1.623e-05 1.282e-05 24 -6.811 3.392e-07
0.354937 OHXXX0RR2206f 10 2 6 f 28782.185 1.623e-05 1.282e-05 24 -6.81 3.395e-07
0.354956 OHXXX0QQ2203f 10 2 3 f 28461.253 6.211e-07 3.384e-07 12 -5.218 2.201e-08
0.354961 OHXXX0QQ2203e 10 2 3 e 28461.148 6.207e-07 3.384e-07 12 -5.217 2.203e-08
0.355025 OHXXX0RQ2107f 10 2 7 f 28934.485 9.742e-08 1.724e-08 28 -7.565 2.502e-10
0.355027 OHXXX0RR1106e 10 1 6 e 28710.475 1.648e-05 1.303e-05 28 -6.453 5.746e-07
0.355034 OHXXX0RR1106f 10 1 6 f 28711.13 1.649e-05 1.303e-05 28 -6.458 5.717e-07
0.355044 OHXXX0RQ2107e 10 2 7 e 28934.759 1.008e-07 1.724e-08 28 -7.567 2.496e-10
0.355125 OHXXX0QQ1103f 10 1 3 f 28361.001 2.347e-06 1.285e-06 16 -4.72 1.832e-07
0.355133 OHXXX0QQ1103e 10 1 3 e 28360.851 2.348e-06 1.274e-06 16 -4.719 1.819e-07
0.355235 OHXXX0PP1101e 10 1 1 e 28234.073 5.213e-06 5.474e-06 8 -4.09 7.327e-07
0.355238 OHXXX0PP1101f 10 1 1 f 28234.09 5.215e-06 5.474e-06 8 -4.091 7.326e-07
0.355671 OHXXX0QQ2204f 10 2 4 f 28545.133 4.13e-07 1.691e-07 16 -5.634 9.67e-09
0.355674 OHXXX0QQ2204e 10 2 4 e 28545.059 4.124e-07 1.691e-07 16 -5.633 9.676e-09
0.355718 OHXXX0PP2202e 10 2 2 e 28400.9 7.59e-06 8.274e-06 8 -4.918 4.841e-07
0.355721 OHXXX0PP2202f 10 2 2 f 28400.996 7.595e-06 8.274e-06 8 -4.919 4.838e-07
0.355746 OHXXX0RR2207f 10 2 7 f 28934.485 1.887e-05 1.436e-05 28 -7.565 2.084e-07
0.355746 OHXXX0RR2207e 10 2 7 e 28934.759 1.887e-05 1.436e-05 28 -7.567 2.08e-07
0.355762 OHXXX0QP2105e 10 2 5 e 28652.251 1.831e-07 2.203e-07 20 -6.165 9.258e-09
0.35577 OHXXX0SR2111e 10 2 11 e 29758.862 1.421e-07 9.16e-08 44 -11.657 3.488e-11
0.355773 OHXXX0QR1201e 10 1 1 e 28234.073 3.27e-08 3.095e-08 8 -4.09 4.143e-09
0.355775 OHXXX0QR1201f 10 1 1 f 28234.09 3.228e-08 3.095e-08 8 -4.091 4.142e-09
0.355778 OHXXX0QP2105f 10 2 5 f 28652.251 1.783e-07 2.203e-07 20 -6.165 9.258e-09
0.355834 OHXXX0SR2111f 10 2 11 f 29757.616 1.374e-07 9.16e-08 44 -11.648 3.521e-11
0.355849 OHXXX0RR1107e 10 1 7 e 28869.316 1.913e-05 1.457e-05 32 -7.241 3.34e-07
0.355856 OHXXX0QQ1104f 10 1 4 f 28456.413 1.528e-06 6.489e-07 20 -5.194 7.203e-08
0.35586 OHXXX0RR1107f 10 1 7 f 28870.215 1.914e-05 1.457e-05 32 -7.248 3.317e-07
0.355869 OHXXX0QQ1104e 10 1 4 e 28456.136 1.528e-06 6.031e-07 20 -5.192 6.708e-08
0.35588 OHXXX0QR1202e 10 1 2 e 28286.848 1.67e-10 1.445e-10 12 -4.352 2.234e-11
0.355883 OHXXX0QR1202f 10 1 2 f 28286.911 1.48e-10 1.445e-10 12 -4.353 2.232e-11
0.356063 OHXXX0PP1102e 10 1 2 e 28286.848 5.922e-06 6.455e-06 12 -4.352 9.976e-07
0.356068 OHXXX0PP1102f 10 1 2 f 28286.911 5.924e-06 6.455e-06 12 -4.353 9.971e-07
0.356101 OHXXX0RQ2108f 10 2 8 f 29108.684 9.323e-08 1.241e-08 32 -8.429 8.669e-11
0.356125 OHXXX0RQ2108e 10 2 8 e 29109.153 9.651e-08 1.241e-08 32 -8.433 8.638e-11
0.356226 OHXXX0QR1203e 10 1 3 e 28360.851 1.322e-08 1.165e-08 16 -4.719 1.664e-09
0.356227 OHXXX0QR1203f 10 1 3 f 28361.001 1.315e-08 1.165e-08 16 -4.72 1.662e-09
0.356549 OHXXX0PQ1201f 10 1 1 f 28234.09 1.198e-07 1.144e-07 8 -4.091 1.531e-08
0.356553 OHXXX0PQ1201e 10 1 1 e 28234.073 1.174e-07 1.144e-07 8 -4.09 1.532e-08
0.356582 OHXXX0QQ2205e 10 2 5 e 28652.251 3.131e-07 9.649e-08 20 -6.165 4.055e-09
0.356582 OHXXX0QQ2205f 10 2 5 f 28652.251 3.136e-07 9.649e-08 20 -6.165 4.055e-09
0.356737 OHXXX0PP2203e 10 2 3 e 28461.148 6.948e-06 7.863e-06 12 -5.217 5.118e-07
0.356738 OHXXX0PP2203f 10 2 3 f 28461.253 6.953e-06 7.863e-06 12 -5.218 5.114e-07
0.35675 OHXXX0RR2208f 10 2 8 f 29108.684 2.151e-05 1.577e-05 32 -8.429 1.102e-07
0.356752 OHXXX0RR2208e 10 2 8 e 29109.153 2.151e-05 1.577e-05 32 -8.433 1.098e-07
0.356766 OHXXX0QQ1105f 10 1 5 f 28573.147 1.088e-06 3.584e-07 24 -5.773 2.675e-08
0.356788 OHXXX0QQ1105e 10 1 5 e 28572.701 1.089e-06 3.12e-07 24 -5.77 2.336e-08
0.356799 OHXXX0QR1204f 10 1 4 f 28456.413 4.457e-08 3.82e-08 20 -5.194 4.241e-09
0.356801 OHXXX0QR1204e 10 1 4 e 28456.136 4.516e-08 3.82e-08 20 -5.192 4.25e-09
0.356859 OHXXX0RR1108e 10 1 8 e 29049.003 2.175e-05 1.595e-05 36 -8.132 1.688e-07
0.356874 OHXXX0RR1108f 10 1 8 f 29050.179 2.176e-05 1.595e-05 36 -8.141 1.673e-07
0.356954 OHXXX0QP2106e 10 2 6 e 28782.301 1.582e-07 1.897e-07 24 -6.811 5.016e-09
0.356978 OHXXX0QP2106f 10 2 6 f 28782.185 1.539e-07 2.053e-07 24 -6.81 5.435e-09
0.35707 OHXXX0PP1103e 10 1 3 e 28360.851 6.066e-06 6.864e-06 16 -4.719 9.799e-07
0.357078 OHXXX0PP1103f 10 1 3 f 28361.001 6.069e-06 6.864e-06 16 -4.72 9.788e-07
0.357167 OHXXX0PQ1202f 10 1 2 f 28286.911 1.177e-07 8.419e-08 12 -4.353 1.3e-08
0.357171 OHXXX0PQ1202e 10 1 2 e 28286.848 1.145e-07 8.419e-08 12 -4.352 1.301e-08
0.35736 OHXXX0RQ2109f 10 2 9 f 29304.29 8.79e-08 8.792e-09 36 -9.399 2.62e-11
0.35739 OHXXX0RQ2109e 10 2 9 e 29304.989 9.101e-08 8.792e-09 36 -9.405 2.606e-11
0.35759 OHXXX0QR1205f 10 1 5 f 28573.147 7.976e-08 6.595e-08 24 -5.773 4.921e-09
0.357596 OHXXX0QR1205e 10 1 5 e 28572.701 8.103e-08 6.595e-08 24 -5.77 4.938e-09
0.357682 OHXXX0QQ2206e 10 2 6 e 28782.301 2.547e-07 5.902e-08 24 -6.811 1.561e-09
0.357687 OHXXX0QQ2206f 10 2 6 f 28782.185 2.553e-07 5.902e-08 24 -6.81 1.562e-09
0.357842 OHXXX0OP1201e 10 1 1 e 28234.073 7.341e-08 7.616e-08 8 -4.09 1.02e-08
0.357845 OHXXX0OP1201f 10 1 1 f 28234.09 7.169e-08 7.616e-08 8 -4.091 1.019e-08
0.357863 OHXXX0QQ1106f 10 1 6 f 28711.13 8.216e-07 2.096e-07 28 -6.458 9.198e-09
0.357894 OHXXX0QQ1106e 10 1 6 e 28710.475 8.217e-07 1.709e-07 28 -6.453 7.538e-09
0.357949 OHXXX0PP2204f 10 2 4 f 28545.133 6.665e-06 7.824e-06 16 -5.634 4.475e-07
0.35795 OHXXX0PP2204e 10 2 4 e 28545.059 6.659e-06 7.824e-06 16 -5.633 4.477e-07
0.357952 OHXXX0RR2209f 10 2 9 f 29304.29 2.396e-05 1.692e-05 36 -9.399 5.043e-08
0.357958 OHXXX0RR2209e 10 2 9 e 29304.989 2.396e-05 1.692e-05 36 -9.405 5.016e-08
0.358016 OHXXX0PQ1203f 10 1 3 f 28361.001 1.029e-07 5.536e-08 16 -4.72 7.894e-09
0.35802 OHXXX0PQ1203e 10 1 3 e 28360.851 9.944e-08 5.492e-08 16 -4.719 7.84e-09
0.358064 OHXXX0RR1109e 10 1 9 e 29249.247 2.415e-05 1.706e-05 40 -9.125 7.428e-08
0.358084 OHXXX0RR1109f 10 1 9 f 29250.728 2.415e-05 1.706e-05 40 -9.137 7.345e-08
0.358262 OHXXX0PP1104e 10 1 4 e 28456.136 6.142e-06 7.25e-06 20 -5.192 8.064e-07
0.358274 OHXXX0PP1104f 10 1 4 f 28456.413 6.144e-06 7.179e-06 20 -5.194 7.968e-07
0.35832 OHXXX0QP2107e 10 2 7 e 28934.759 1.388e-07 1.697e-07 28 -7.567 2.456e-09
0.358354 OHXXX0QP2107f 10 2 7 f 28934.485 1.351e-07 1.902e-07 28 -7.565 2.759e-09
0.358595 OHXXX0QR1206f 10 1 6 f 28711.13 1.11e-07 8.846e-08 28 -6.458 3.883e-09
0.358607 OHXXX0QR1206e 10 1 6 e 28710.475 1.129e-07 8.846e-08 28 -6.453 3.902e-09
0.358809 OHXXX0RQ2110f 10 2 10 f 29520.784 8.125e-08 6.108e-09 40 -10.473 6.909e-12
0.358846 OHXXX0RQ2110e 10 2 10 e 29521.743 8.41e-08 6.108e-09 40 -10.481 6.859e-12
0.358969 OHXXX0OP1202e 10 1 2 e 28286.848 1.084e-07 1.166e-07 12 -4.352 1.802e-08
0.35897 OHXXX0OP1202f 10 1 2 f 28286.911 1.056e-07 1.166e-07 12 -4.353 1.801e-08
0.358977 OHXXX0QQ2207e 10 2 7 e 28934.759 2.144e-07 3.735e-08 28 -7.567 5.408e-10
0.358989 OHXXX0QQ2207f 10 2 7 f 28934.485 2.15e-07 3.735e-08 28 -7.565 5.419e-10
0.359089 OHXXX0PQ1204f 10 1 4 f 28456.413 8.729e-08 3.635e-08 20 -5.194 4.035e-09
0.359093 OHXXX0PQ1204e 10 1 4 e 28456.136 8.391e-08 3.378e-08 20 -5.192 3.758e-09
0.359151 OHXXX0QQ1107f 10 1 7 f 28870.215 6.431e-07 1.269e-07 32 -7.248 2.89e-09
0.359193 OHXXX0QQ1107e 10 1 7 e 28869.316 6.43e-07 9.694e-08 32 -7.241 2.223e-09
0.359354 OHXXX0PP2205f 10 2 5 f 28652.251 6.569e-06 8.005e-06 20 -6.165 3.364e-07
0.359357 OHXXX0RR2210f 10 2 10 f 29520.784 2.594e-05 1.765e-05 40 -10.473 1.997e-08
0.359358 OHXXX0PP2205e 10 2 5 e 28652.251 6.564e-06 8.005e-06 20 -6.165 3.364e-07
0.359365 OHXXX0RR2210e 10 2 10 e 29521.743 2.594e-05 1.765e-05 40 -10.481 1.982e-08
0.359468 OHXXX0RR1110e 10 1 10 e 29469.688 2.607e-05 1.774e-05 44 -10.219 2.847e-08
0.359494 OHXXX0RR1110f 10 1 10 f 29471.498 2.607e-05 1.774e-05 44 -10.232 2.809e-08
0.359645 OHXXX0PP1105e 10 1 5 e 28572.701 6.235e-06 7.772e-06 24 -5.77 5.819e-07
0.359662 OHXXX0PP1105f 10 1 5 f 28573.147 6.237e-06 7.433e-06 24 -5.773 5.547e-07
0.359811 OHXXX0QR1207f 10 1 7 f 28870.215 1.346e-07 1.034e-07 32 -7.248 2.354e-09
0.359831 OHXXX0QR1207e 10 1 7 e 28869.316 1.37e-07 1.034e-07 32 -7.241 2.37e-09
0.359869 OHXXX0QP2108e 10 2 8 e 29109.153 1.235e-07 1.539e-07 32 -8.433 1.072e-09
0.359915 OHXXX0QP2108f 10 2 8 f 29108.684 1.203e-07 1.786e-07 32 -8.429 1.248e-09
0.360324 OHXXX0OP1203f 10 1 3 f 28361.001 2.0334103000585463e-05 1.363e-07 16 -4.72 1.943e-08
0.360326 OHXXX0OP1203e 10 1 3 e 28360.851 2.0334103000585463e-05 1.363e-07 16 -4.719 1.945e-08
0.360382 OHXXX0PQ1205f 10 1 5 f 28573.147 5.4247722974071526e-06 2.367e-08 24 -5.773 1.766e-09
0.360384 OHXXX0PQ1205e 10 1 5 e 28572.701 4.721179101249993e-06 2.06e-08 24 -5.77 1.543e-09
0.360457 OHXXX0RQ2111f 10 2 11 f 29757.616 2.286001095508578e-06 4.132e-09 44 -11.648 1.588e-12
0.36047 OHXXX0QQ2208e 10 2 8 e 29109.153 6.947051316299697e-06 2.391e-08 32 -8.433 1.665e-10
0.360491 OHXXX0QQ2208f 10 2 8 f 29108.684 6.947051316299697e-06 2.391e-08 32 -8.429 1.671e-10
0.360501 OHXXX0RQ2111e 10 2 11 e 29758.862 2.286001095508578e-06 4.132e-09 44 -11.657 1.574e-12
0.360635 OHXXX0QQ1108f 10 1 8 f 29050.179 1.6156400527803614e-05 7.817e-08 36 -8.141 8.197e-10
0.360689 OHXXX0QQ1108e 10 1 8 e 29049.003 1.1561840162790508e-05 5.594e-08 36 -8.132 5.918e-10
0.360954 OHXXX0PP2206f 10 2 6 f 28782.185 3.2335732184716016e-05 8.636e-06 24 -6.81 2.286e-07
0.360961 OHXXX0PP2206e 10 2 6 e 28782.301 2.9868241736623397e-05 7.977e-06 24 -6.811 2.11e-07
0.360968 OHXXX0RR2211f 10 2 11 f 29757.616 9.250577253558954e-07 1.779e-05 44 -11.648 6.837e-09
0.360981 OHXXX0RR2211e 10 2 11 e 29758.862 9.250577253558954e-07 1.779e-05 44 -11.657 6.773e-09
0.361078 OHXXX0RR1111e 10 1 11 e 29709.903 1.0228944037689565e-06 1.782e-05 48 -11.41 9.479e-09
0.36111 OHXXX0RR1111f 10 1 11 f 29712.06 1.0228944037689565e-06 1.782e-05 48 -11.426 9.326e-09
0.361223 OHXXX0PP1106e 10 1 6 e 28710.475 5.990531903777676e-06 8.335e-06 28 -6.453 3.677e-07
0.361238 OHXXX0QR1208f 10 1 8 f 29050.179 1.760603877419207e-05 1.103e-07 36 -8.141 1.157e-09
0.361245 OHXXX0PP1106f 10 1 6 f 28711.13 5.5334259300761034e-06 7.699e-06 28 -6.458 3.379e-07
0.361268 OHXXX0QR1208e 10 1 8 e 29049.003 1.760603877419207e-05 1.103e-07 36 -8.132 1.167e-09
0.361609 OHXXX0QP2109e 10 2 9 e 29304.989 8.790082491674155e-05 1.407e-07 36 -9.405 4.171e-10
0.361668 OHXXX0QP2109f 10 2 9 f 29304.29 0.00010564342212808096 1.691e-07 36 -9.399 5.038e-10
0.361891 OHXXX0PQ1206f 10 1 6 f 28711.13 0.00028683083425925994 1.535e-08 28 -6.458 6.736e-10
0.361891 OHXXX0PQ1206e 10 1 6 e 28710.475 0.00023394931888768306 1.252e-08 28 -6.453 5.52e-10
0.361901 OHXXX0OP1204f 10 1 4 f 28456.413 0.036809800047046676 1.422e-07 20 -5.194 1.579e-08
0.361908 OHXXX0OP1204e 10 1 4 e 28456.136 0.03717220314174333 1.436e-07 20 -5.192 1.598e-08
0.362165 OHXXX0QQ2209e 10 2 9 e 29304.989 0.12676375609404264 1.519e-08 36 -9.405 4.504e-11
0.362196 OHXXX0QQ2209f 10 2 9 f 29304.29 0.12676375609404264 1.519e-08 36 -9.399 4.527e-11
0.36232 OHXXX0QQ1109f 10 1 9 f 29250.728 0.08757866149269242 4.817e-08 40 -9.137 2.074e-10
0.362389 OHXXX0QQ1109e 10 1 9 e 29249.247 0.058706974872307215 3.229e-08 40 -9.125 1.406e-10
0.362754 OHXXX0PP2207f 10 2 7 f 28934.485 2.4206117515208063e-05 9.116e-06 28 -7.565 1.323e-07
0.362765 OHXXX0PP2207e 10 2 7 e 28934.759 2.15985695336444e-05 8.134e-06 28 -7.567 1.178e-07
0.362878 OHXXX0QR1209f 10 1 9 f 29250.728 1.6173005219289824e-06 1.096e-07 40 -9.137 4.719e-10
0.3629 OHXXX0RR1112e 10 1 12 e 29969.401 3.2678070039851992e-06 1.715e-05 52 -12.697 2.729e-09
0.362919 OHXXX0QR1209e 10 1 9 e 29249.247 1.6173005219289824e-06 1.096e-07 40 -9.125 4.772e-10
0.362939 OHXXX0RR1112f 10 1 12 f 29971.92 3.2678070039851992e-06 1.715e-05 52 -12.716 2.677e-09
0.363002 OHXXX0PP1107e 10 1 7 e 28869.316 0.1779099020660879 8.876e-06 32 -7.241 2.035e-07
0.36303 OHXXX0PP1107f 10 1 7 f 28870.215 0.15872786327865593 7.919e-06 32 -7.248 1.803e-07
0.363548 OHXXX0QP2110e 10 2 10 e 29521.743 9.011962420960361e-05 1.286e-07 40 -10.481 1.444e-10
0.363614 OHXXX0PQ1207e 10 1 7 e 28869.316 0.04446071803724199 7.548e-09 32 -7.241 1.731e-10
0.363617 OHXXX0PQ1207f 10 1 7 f 28870.215 0.05820301469607684 9.881e-09 32 -7.248 2.25e-10
0.363621 OHXXX0QP2110f 10 2 10 f 29520.784 0.00011205387178161443 1.599e-07 40 -10.473 1.809e-10
0.363699 OHXXX0OP1205f 10 1 5 f 28573.147 0.12549846399755812 1.378e-07 24 -5.773 1.029e-08
0.363713 OHXXX0OP1205e 10 1 5 e 28572.701 0.13123605705405023 1.441e-07 24 -5.77 1.079e-08
0.364068 OHXXX0QQ2210e 10 2 10 e 29521.743 2.874667238859547e-06 9.415e-09 40 -10.481 1.057e-11
0.36411 OHXXX0QQ2210f 10 2 10 f 29520.784 2.874667238859547e-06 9.415e-09 40 -10.473 1.065e-11
0.364213 OHXXX0QQ1110f 10 1 10 f 29471.498 3.295823060401144e-06 2.919e-08 44 -10.232 4.621e-11
0.364298 OHXXX0QQ1110e 10 1 10 e 29469.688 2.0696278416290847e-06 1.833e-08 44 -10.219 2.942e-11
0.364735 OHXXX0QR1210f 10 1 10 f 29471.498 0.005039709397555834 1.02e-07 44 -10.232 1.615e-10
0.364759 OHXXX0PP2208f 10 2 8 f 29108.684 0.6971710890593361 9.488e-06 32 -8.429 6.63e-08
0.364774 OHXXX0PP2208e 10 2 8 e 29109.153 0.6007663178909287 8.176e-06 32 -8.433 5.693e-08
0.364789 OHXXX0QR1210e 10 1 10 e 29469.688 0.005039709397555834 1.02e-07 44 -10.219 1.637e-10
0.364988 OHXXX0PP1108e 10 1 8 e 29049.003 0.03734611165354535 9.274e-06 36 -8.132 9.812e-08
0.365022 OHXXX0PP1108f 10 1 8 f 29050.179 0.03218353723691335 7.992e-06 36 -8.141 8.381e-08
0.365554 OHXXX0PQ1208e 10 1 8 e 29049.003 0.02279446046059179 4.476e-09 36 -8.132 4.736e-11
